Title,Rating,Memory,Disply,Camera,Processor,Warranty,Selling_price,actual_price,discount,emi,exchange_price
Apple iPhone 7 (Black| 32 GB),4.5,32 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹27999,₹29900,6% off,No Cost EMI,0
Apple iPhone 7 Plus (Black| 32 GB),4.5,32 GB ROM ,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹34999,₹37900,7% off,No Cost EMI,0
Apple iPhone 11 (White| 64 GB),4.7,64 GB ROM ,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹64900,₹64900,0,No Cost EMI,₹14000
Apple iPhone 11 (White| 128 GB),4.7,128 GB ROM ,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹69900,₹69900,0,No Cost EMI,₹14000
Apple iPhone 11 (Black| 64 GB),4.7,64 GB ROM ,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹64900,₹64900,0,No Cost EMI,₹14000
Apple iPhone 7 Plus (Rose Gold| 32 GB),4.5,32 GB ROM ,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹34999,₹37900,7% off,No Cost EMI,0
Apple iPhone 11 (Green| 64 GB),4.7,64 GB ROM ,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹64900,₹64900,0,No Cost EMI,₹14000
Apple iPhone XR (Blue| 64 GB),4.6,64 GB ROM ,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Brand Warranty of 1 Year,₹49900,₹49900,0,No Cost EMI,₹14000
Apple iPhone 11 (Purple| 128 GB),4.7,128 GB ROM ,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹69900,₹69900,0,No Cost EMI,₹14000
Apple iPhone XS (Space Grey| 64 GB),4.7,64 GB ROM ,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor,1 Year Limited Warranty for Products and Accessories,₹59999,₹89900,33% off,No Cost EMI,0
Apple iPhone 11 (Black| 128 GB),4.7,128 GB ROM ,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹69900,₹69900,0,No Cost EMI,₹14000
Apple iPhone 11 (Purple| 64 GB),4.7,64 GB ROM ,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹64900,₹64900,0,No Cost EMI,₹14000
Apple iPhone 8 (Space Grey| 64 GB),4.5,64 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A11 Bionic Chip with 64-bit Architecture| Neural Engine| Embedded M11 Motion Coprocessor Processor,Brand Warranty of 1 Year,₹36999,₹39900,7% off,No Cost EMI,₹14000
Apple iPhone 7 Plus (Gold| 32 GB),4.5,32 GB ROM ,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year,₹34999,₹37900,7% off,No Cost EMI,0
Apple iPhone XS (Gold| 64 GB),4.7,64 GB ROM ,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor,1 Year Limited Warranty for Products and Accessories,₹59999,₹89900,33% off,No Cost EMI,0
Apple iPhone XR (Black| 128 GB),4.6,128 GB ROM ,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Brand Warranty of 1 Year,₹54900,₹54900,0,No Cost EMI,₹14000
Apple iPhone 11 (Green| 128 GB),4.7,128 GB ROM ,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹69900,₹69900,0,No Cost EMI,₹14000
Apple iPhone 8 (Silver| 64 GB),4.5,64 GB ROM ,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A11 Bionic Chip with 64-bit Architecture| Neural Engine| Embedded M11 Motion Coprocessor Processor,Brand Warranty of 1 Year,₹36999,₹39900,7% off,No Cost EMI,0
Apple iPhone XR (White| 128 GB),4.6,128 GB ROM ,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Brand Warranty of 1 Year,₹54900,₹54900,0,No Cost EMI,₹14000
Apple iPhone 11 (Red| 128 GB),4.7,128 GB ROM ,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,₹69900,₹69900,0,No Cost EMI,₹14000
Apple iPhone XR (White| 64 GB),4.6,64 GB ROM ,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor,Brand Warranty of 1 Year,₹49900,₹49900,0,No Cost EMI,₹14000
